source,page_index,archive_url,status_code,content_type,n_results,request_time
Collabra Psychology,1,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210175756%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:58:35.883872+00:00
Collabra Psychology,2,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210175756%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNjA5NDU5MjAwMDAwLCA5OS4wLCAyNCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1czMTYxNzMyMDI3J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:58:37.519469+00:00
Collabra Psychology,3,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210175756%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNjcyNTMxMjAwMDAwLCA5Ny4wLCAzLCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzQzMjE3NjY4MTAnXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:58:39.169753+00:00
Collabra Psychology,4,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210175756%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNzM1Njg5NjAwMDAwLCA5Ni4wLCAyLCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzQ0MDc2OTcyODEnXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,83,2026-06-20T18:58:40.460377+00:00
