source,unit_id,unit_type,year,unit_date,unit_label,unit_url,landing_page_url,source_url,title,summary,authors,oa_marker,pdf_url,doi,openalex_id,source_item_id,paper_type,venue_section,concepts,referenced_works_count,cited_by_count
Journal of Machine Learning Research,jmlr_2015_v16_i1,journal_issue_or_year,2015,2015-01-01,"vol. 16, issue 1",https://jmlr.csail.mit.edu/papers/volume16/zhang15a/zhang15a.pdf,https://jmlr.csail.mit.edu/papers/volume16/zhang15a/zhang15a.pdf,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,CEKA: a tool for mining the wisdom of crowds,,Jing Zhang; Victor S. Sheng; Bryce Nicholson; Xindong Wu,source_known_oa;closed;is_oa,https://jmlr.csail.mit.edu/papers/volume16/zhang15a/zhang15a.pdf,,https://openalex.org/W2285341298,https://openalex.org/W2285341298,article,OpenAlex concept filter: Machine learning,Computer science; Java; Crowds; Machine learning; Class (philosophy); Set (abstract data type); Artificial intelligence; Inference; Noise (video); Software; Data mining; Core (optical fiber); Programming language; Image (mathematics); Telecommunications; Computer security,13,36
Journal of Machine Learning Research,jmlr_2015_v16_i1,journal_issue_or_year,2015,2015-01-01,"vol. 16, issue 1",http://jmlr.csail.mit.edu/papers/volume16/helmbold15a/helmbold15a.pdf,http://jmlr.csail.mit.edu/papers/volume16/helmbold15a/helmbold15a.pdf,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,On the inductive bias of dropout,,David P. Helmbold; Philip M. Long,source_known_oa;closed;is_oa,https://jmlr.csail.mit.edu/papers/volume16/helmbold15a/helmbold15a.pdf,10.5555/2789272.2912107,https://openalex.org/W2963724148,https://openalex.org/W2963724148,article,OpenAlex concept filter: Machine learning,Regularization (linguistics); Bounded function; Mathematics; Computer science; Regular polygon; Dropout (neural networks); Convex function; Mathematical optimization; Applied mathematics; Artificial intelligence; Machine learning; Mathematical analysis; Geometry,23,35
Journal of Machine Learning Research,jmlr_2015_v16_i1,journal_issue_or_year,2015,2015-01-01,"vol. 16, issue 1",http://jmlr.csail.mit.edu/papers/volume16/chen15c/chen15c.pdf,http://jmlr.csail.mit.edu/papers/volume16/chen15c/chen15c.pdf,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Marginalizing stacked linear denoising autoencoders,,Minmin Chen; Kilian Q. Weinberger; Zhixiang Xu; Fei Sha,source_known_oa;closed;is_oa,https://jmlr.csail.mit.edu/papers/volume16/chen15c/chen15c.pdf,10.5555/2789272.2912118,https://openalex.org/W2281948289,https://openalex.org/W2281948289,article,OpenAlex concept filter: Machine learning,Benchmark (surveying); Noise reduction; Scalability; Computer science; Autoencoder; Noise (video); Artificial intelligence; Gradient descent; Domain (mathematical analysis); Algorithm; Pattern recognition (psychology); Machine learning; Mathematics; Deep learning; Artificial neural network; Image (mathematics); Geography; Mathematical analysis; Geodesy; Database,47,34
Journal of Machine Learning Research,jmlr_2015_v16_i1,journal_issue_or_year,2015,2015-01-01,"vol. 16, issue 1",http://jmlr.org/papers/volume16/statnikov15a/statnikov15a.pdf,http://jmlr.org/papers/volume16/statnikov15a/statnikov15a.pdf,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Ultra-scalable and efficient methods for hybrid observational and experimental local causal pathway discovery,,Alexander Statnikov; Sisi Ma; Mikael Henaff; Nikita I. Lytkin; E. Efstathiadis; et al.,source_known_oa;closed;is_oa,https://jmlr.org/papers/volume16/statnikov15a/statnikov15a.pdf,10.5555/2789272.2912102,https://openalex.org/W2266375225,https://openalex.org/W2266375225,article,OpenAlex concept filter: Machine learning,Computer science; Causality (physics); Observational study; Identification (biology); Machine learning; Curse of dimensionality; Scalability; False discovery rate; Class (philosophy); Artificial intelligence; Causal model; Knowledge extraction; Data mining; Data science; Mathematics; Biology; Quantum mechanics; Database; Gene; Botany; Biochemistry; Statistics; Physics,38,27
Journal of Machine Learning Research,jmlr_2015,journal_issue_or_year,2015,2015-01-01,year 2015,https://dl.acm.org/doi/10.5555/2789272.2886796,https://dl.acm.org/doi/10.5555/2789272.2886796,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Second-order non-stationary online learning for regression,,MoroshkoEdward; VaitsNina; CrammerKoby,source_known_oa;closed;is_oa,https://dl.acm.org/doi/10.5555/2789272.2886796,10.5555/2789272.2886796,https://openalex.org/W3017031875,https://openalex.org/W3017031875,article,OpenAlex concept filter: Machine learning,Online learning; Computer science; Function (biology); Class (philosophy); Artificial intelligence; Regression; Machine learning; Order (exchange); Mathematics; Statistics; Multimedia; Evolutionary biology; Economics; Biology; Finance,,21
Journal of Machine Learning Research,jmlr_2015,journal_issue_or_year,2015,2015-01-01,year 2015,https://dl.acm.org/doi/10.5555/2789272.2789279,https://dl.acm.org/doi/10.5555/2789272.2789279,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Learning transformations for clustering and classification,,QiuQiang; SapiroGuillermo,source_known_oa;closed;is_oa,https://dl.acm.org/doi/10.5555/2789272.2789279,10.5555/2789272.2789279,https://openalex.org/W3016464806,https://openalex.org/W3016464806,article,OpenAlex concept filter: Machine learning,Cluster analysis; Computer science; Artificial intelligence; Machine learning; Pattern recognition (psychology),,39
Journal of Machine Learning Research,jmlr_2015_v16_i1,journal_issue_or_year,2015,2015-01-01,"vol. 16, issue 1",https://jmlr.org/papers/volume16/thon15a/thon15a.pdf,https://jmlr.org/papers/volume16/thon15a/thon15a.pdf,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,"Links between multiplicity automata, observable operator models and predictive state representations: a unified learning framework",,Michael R. Thon; Herbert Jaeger,source_known_oa;closed;is_oa,https://jmlr.org/papers/volume16/thon15a/thon15a.pdf,,https://openalex.org/W2117421927,https://openalex.org/W2117421927,article,OpenAlex concept filter: Machine learning,Automaton; Computer science; Probabilistic logic; Probabilistic automaton; Theoretical computer science; Quantum finite automata; Grammar induction; Generalization; Inference; Observable; Hidden Markov model; Operator (biology); Artificial intelligence; Machine learning; Mathematics; Automata theory; Gene; Physics; Transcription factor; Mathematical analysis; Chemistry; Quantum mechanics; Biochemistry; Repressor; Rule-based machine translation,78,20
Journal of Machine Learning Research,jmlr_2015,journal_issue_or_year,2015,2015-01-01,year 2015,https://dl.acm.org/doi/10.5555/2789272.2789278,https://dl.acm.org/doi/10.5555/2789272.2789278,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Online learning via sequential complexities,,RakhlinAlexander; SridharanKarthik; TewariAmbuj,source_known_oa;closed;is_oa,https://dl.acm.org/doi/10.5555/2789272.2789278,10.5555/2789272.2789278,https://openalex.org/W3004555508,https://openalex.org/W3004555508,article,OpenAlex concept filter: Machine learning,Computer science; Artificial intelligence; Online learning; Machine learning; World Wide Web,,16
Journal of Machine Learning Research,jmlr_2015,journal_issue_or_year,2015,2015-01-01,year 2015,https://dl.acm.org/doi/10.5555/2789272.2886786,https://dl.acm.org/doi/10.5555/2789272.2886786,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Fast cross-validation via sequential testing,,KruegerTammo; PankninDanny; BraunMikio,source_known_oa;closed;is_oa,https://dl.acm.org/doi/10.5555/2789272.2886786,10.5555/2789272.2886786,https://openalex.org/W3026324026,https://openalex.org/W3026324026,article,OpenAlex concept filter: Machine learning,Cross-validation; Computer science; Task (project management); Selection (genetic algorithm); Model validation; Model selection; Artificial intelligence; Data mining; Machine learning; Data science; Economics; Management,,11
Journal of Machine Learning Research,jmlr_2015,journal_issue_or_year,2015,2015-01-01,year 2015,https://dl.acm.org/doi/10.5555/2789272.2886811,https://dl.acm.org/doi/10.5555/2789272.2886811,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Semi-supervised interpolation in an anticausal learning scenario,,JanzingDominik; SchölkopfBernhard,source_known_oa;closed;is_oa,https://dl.acm.org/doi/10.5555/2789272.2886811,10.5555/2789272.2886811,https://openalex.org/W3164883482,https://openalex.org/W3164883482,article,OpenAlex concept filter: Machine learning,Interpolation (computer graphics); Computer science; Artificial intelligence; Machine learning; Semi-supervised learning; Supervised learning; Artificial neural network; Motion (physics),,4
