page_index,source_url,result_count,num_found,start
17,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=8500&wt=json,500,21908,8500
18,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=9000&wt=json,500,21908,9000
19,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=9500&wt=json,500,21908,9500
20,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=10000&wt=json,500,21908,10000
21,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=10500&wt=json,500,21908,10500
22,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=11000&wt=json,500,21908,11000
23,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=11500&wt=json,500,21908,11500
24,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=12000&wt=json,500,21908,12000
25,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=12500&wt=json,500,21908,12500
26,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=13000&wt=json,500,21908,13000
27,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=13500&wt=json,500,21908,13500
28,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=14000&wt=json,500,21908,14000
29,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=14500&wt=json,500,21908,14500
30,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=15000&wt=json,500,21908,15000
31,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=15500&wt=json,500,21908,15500
32,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=16000&wt=json,500,21908,16000
33,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=16500&wt=json,500,21908,16500
34,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=17000&wt=json,500,21908,17000
35,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=17500&wt=json,500,21908,17500
36,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=18000&wt=json,500,21908,18000
37,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=18500&wt=json,500,21908,18500
38,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=19000&wt=json,500,21908,19000
39,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=19500&wt=json,500,21908,19500
40,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=20000&wt=json,500,21908,20000
41,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=20500&wt=json,500,21908,20500
42,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=21000&wt=json,500,21908,21000
43,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=21500&wt=json,408,21908,21500
