source,page_index,archive_url,status_code,content_type,n_results,request_time
Journal of Cosmology and Astroparticle Physics,11,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMjg5ODY1NjAwMDAwLCA5OS4wLCA1MSwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMDMzODMwNDA4J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:42.287715+00:00
Journal of Cosmology and Astroparticle Physics,12,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzAyNzM5MjAwMDAwLCA5Ny4wLCA2LCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzIwMDQxMDM5ODAnXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:43.859108+00:00
Journal of Cosmology and Astroparticle Physics,13,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzE3NjAwMDAwMDAwLCA5OS4wLCA2MSwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMDc2MDc1NzkxJ10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:45.533367+00:00
Journal of Cosmology and Astroparticle Physics,14,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzMwMDQxNjAwMDAwLCA5OS4wLCAzOCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cxOTg3MTU1NDA2J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:47.164832+00:00
Journal of Cosmology and Astroparticle Physics,15,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzQxNTMyODAwMDAwLCAxMDAuMCwgODYsICdodHRwczovL29wZW5hbGV4Lm9yZy9XMjEwNzU1NTEzNyddIg%3D%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:48.816494+00:00
Journal of Cosmology and Astroparticle Physics,16,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzUyOTM3NjAwMDAwLCA5OS4wLCAzMiwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMTA5ODEyNTg0J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:50.542564+00:00
Journal of Cosmology and Astroparticle Physics,17,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzY0NDI4ODAwMDAwLCAxMDAuMCwgOTksICdodHRwczovL29wZW5hbGV4Lm9yZy9XMjAyMzc4Mjc5OCddIg%3D%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:52.137836+00:00
Journal of Cosmology and Astroparticle Physics,18,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzc1NzQ3MjAwMDAwLCAxMDAuMCwgNzMsICdodHRwczovL29wZW5hbGV4Lm9yZy9XMjYwMzUyNzczMSddIg%3D%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:53.790827+00:00
Journal of Cosmology and Astroparticle Physics,19,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzg0OTA1NjAwMDAwLCA5OS4wLCA2OSwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cxOTY4NjEwNTU3J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:55.347254+00:00
Journal of Cosmology and Astroparticle Physics,20,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzk0NjY4ODAwMDAwLCAxMDAuMCwgMTI5LCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzE5ODI4ODc1MzAnXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:56.989471+00:00
Journal of Cosmology and Astroparticle Physics,21,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDA0OTUwNDAwMDAwLCA5Ny4wLCA3LCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzE5ODc2NjA1NzInXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:58.614274+00:00
