paper_id,field,source,inventory_id,seed,unit_id,unit_year,title,doi,eligible_units,eligible_papers_in_unit,selection_probability,design_weight,pdf_url,pdf_path,text_path,pdf_sha256,text_chars
P0017,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2026062101,plos_computational_biology_2015_v11_i6,2015,Modeling the Impact of White-Plague Coral Disease in Climate Change Scenarios,10.1371/journal.pcbi.1004151,135,40,0.000185185185185,5400,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1004151&type=printable,corpus/pdfs/computational_biology/P0017.pdf,corpus/text/computational_biology/P0017.txt,221c21a79713aab9d6189f2db82ced77bb21ce7ebd13f21f292addf9c55a2653,73273
P0018,ML / AI methods proper,NeurIPS,neurips_proceedings_v1.0.1_2015-2025_20260620,2026062102,neurips_2018,2018,Plug-in Estimation in High-Dimensional Linear Inverse Problems: A Rigorous Analysis,,11,1009,9.00982070457e-05,11099,https://proceedings.neurips.cc/paper_files/paper/2018/file/2ad9e5e943e43cad612a7996c12a8796-Paper.pdf,corpus/pdfs/ml_ai_methods/P0018.pdf,corpus/text/ml_ai_methods/P0018.txt,259c598f167aaf781f6b24f1d55a09be1b8e742260cf692e24c6a632a47fc156,36934
P0019,"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,2026062103,epj_c_2023_v83_i8,2023,Probing lepton flavor violation in meson decays with LHC data,10.1140/epjc/s10052-023-11860-w,135,20,0.00037037037037,2700,https://link.springer.com/content/pdf/10.1140/epjc/s10052-023-11860-w.pdf,corpus/pdfs/particle_gravitational_physics/P0019.pdf,corpus/text/particle_gravitational_physics/P0019.txt,d603529db5ec35e1fa345d2b9b93ead65586ac0b1d8b6a56cd4e941b09b952fd,54268
P0020,"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,2026062104,jcap_2019_v2019_i12,2019,Dark matter capture by the Sun: revisiting velocity distribution uncertainties,10.1088/1475-7516/2019/12/043,132,48,0.000157828282828,6336,https://arxiv.org/pdf/1906.11674,corpus/pdfs/statistical_physics/P0020.pdf,corpus/text/statistical_physics/P0020.txt,9c17c10772cd5499fd66675374cd010e77f1ec1ae43e5c5210e2e5d5b0dc3e40,56393
P0021,Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,2026062105,elife_2015_v5,2015,Evaluation of predictions of the stochastic model of organelle production based on exact distributions,10.7554/elife.10167,32,1,0.03125,32,https://elifesciences.org/articles/10167.pdf,corpus/pdfs/molecular_cell_biology/P0021.pdf,corpus/text/molecular_cell_biology/P0021.txt,7ad68a5eb35c9152401b947ead5f41a83ddaaa39ab12ca0afa001042df3d7556,41035
P0022,Structure-driven condensed matter / chemistry,Physical Review X,physical_review_x_openalex_v1.0.1_through2025_20260620,2026062106,physical_review_x_2018_v8_i3,2018,Quantum Interference Controls the Electron Spin Dynamics in n-GaAs,10.1103/physrevx.8.031021,43,77,0.000302023557838,3311,https://arxiv.org/pdf/1803.00352,corpus/pdfs/condensed_matter_physics/P0022.pdf,corpus/text/condensed_matter_physics/P0022.txt,a6f7fe80ef6f7a1367e26551b9ba6911f7970427cf7beb587a36702f88bb26ad,38498
P0023,Computational neuroscience,Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_openalex_v1.0.1_through2025_20260620,2026062107,frontiers_computational_neuroscience_2024_v18,2024,The emergence of enhanced intelligence in a brain-inspired cognitive architecture,10.3389/fncom.2024.1367712,23,98,0.000443655723159,2254,https://www.frontiersin.org/articles/10.3389/fncom.2024.1367712/pdf?isPublishedV2=False,corpus/pdfs/computational_neuroscience/P0023.pdf,corpus/text/computational_neuroscience/P0023.txt,b062fe4c4821c76fd8b6e6f2485dffda2329eef605c21e54a4d7fccb1a88ec64,171981
P0024,Cognitive science / psychology,Collabra Psychology,collabra_psychology_openalex_v1.0.1_through2025_20260620,2026062108,collabra_psychology_2021_v7_i1,2021,A Multi-Site Collaborative Study of the Hostile Priming Effect,10.1525/collabra.18738,8,6,0.0208333333333,48,http://bura.brunel.ac.uk/bitstream/2438/28248/1/FullText.pdf,corpus/pdfs/cognitive_science_psychology/P0024.pdf,corpus/text/cognitive_science_psychology/P0024.txt,f1564de76fb6c983e73294e881b9f7af8f73011ea2bd75cfb4711b7e4b7b5ae2,78239
