source,unit_id,unit_type,year,unit_date,unit_label,unit_url,n_items_total
The European Physical Journal C,epj_c_1982_v11_i4,journal_issue,1982,1982-12-01,"vol. 11, issue 4",https://doi.org/10.1007/bf01578280,9
The European Physical Journal C,epj_c_1982_v12_i1,journal_issue,1982,1982-03-01,"vol. 12, issue 1",https://doi.org/10.1007/bf01475732,14
The European Physical Journal C,epj_c_1982_v12_i2,journal_issue,1982,1982-06-01,"vol. 12, issue 2",https://doi.org/10.1007/bf01548608,14
The European Physical Journal C,epj_c_1982_v12_i3,journal_issue,1982,1982-09-01,"vol. 12, issue 3",https://doi.org/10.1007/bf01558259,11
The European Physical Journal C,epj_c_1982_v12_i4,journal_issue,1982,1982-12-01,"vol. 12, issue 4",https://doi.org/10.1007/bf01557576,12
The European Physical Journal C,epj_c_1982_v13_i1,journal_issue,1982,1982-03-01,"vol. 13, issue 1",https://doi.org/10.1007/bf01553631,14
The European Physical Journal C,epj_c_1982_v13_i2,journal_issue,1982,1982-06-01,"vol. 13, issue 2",https://doi.org/10.1007/bf01547677,12
The European Physical Journal C,epj_c_1982_v13_i3,journal_issue,1982,1982-09-01,"vol. 13, issue 3",https://doi.org/10.1007/bf01575772,12
The European Physical Journal C,epj_c_1982_v13_i4,journal_issue,1982,1982-12-01,"vol. 13, issue 4",https://doi.org/10.1007/bf01572345,16
The European Physical Journal C,epj_c_1982_v14_i1,journal_issue,1982,1982-03-01,"vol. 14, issue 1",https://doi.org/10.1007/bf01547961,13
The European Physical Journal C,epj_c_1982_v14_i2,journal_issue,1982,1982-06-01,"vol. 14, issue 2",https://doi.org/10.1007/bf01495029,13
The European Physical Journal C,epj_c_1982_v14_i3,journal_issue,1982,1982-09-01,"vol. 14, issue 3",https://doi.org/10.1007/bf01571825,14
The European Physical Journal C,epj_c_1982_v14_i4,journal_issue,1982,1982-12-01,"vol. 14, issue 4",https://doi.org/10.1007/bf01578658,13
The European Physical Journal C,epj_c_1982_v15_i1,journal_issue,1982,1982-03-01,"vol. 15, issue 1",https://doi.org/10.1007/bf01573422,10
The European Physical Journal C,epj_c_1982_v15_i2,journal_issue,1982,1982-06-01,"vol. 15, issue 2",https://doi.org/10.1007/bf01571999,14
The European Physical Journal C,epj_c_1982_v15_i3,journal_issue,1982,1982-09-01,"vol. 15, issue 3",https://doi.org/10.1007/bf01475009,10
The European Physical Journal C,epj_c_1982_v15_i4,journal_issue,1982,1982-12-01,"vol. 15, issue 4",https://doi.org/10.1007/bf01614426,10
The European Physical Journal C,epj_c_1982_v16_i1,journal_issue,1982,1982-03-01,"vol. 16, issue 1",https://doi.org/10.1007/bf01573747,14
The European Physical Journal C,epj_c_1982_v16_i2,journal_issue,1982,1982-06-01,"vol. 16, issue 2",https://doi.org/10.1007/bf01572261,12
The European Physical Journal C,epj_c_1983_v16_i3,journal_issue,1983,1983-09-01,"vol. 16, issue 3",https://doi.org/10.1007/bf01571607,14
The European Physical Journal C,epj_c_1983_v16_i4,journal_issue,1983,1983-12-01,"vol. 16, issue 4",https://doi.org/10.1007/bf01577095,15
The European Physical Journal C,epj_c_1983_v17_i1,journal_issue,1983,1983-03-01,"vol. 17, issue 1",https://doi.org/10.1007/bf01577819,13
The European Physical Journal C,epj_c_1983_v17_i2,journal_issue,1983,1983-06-01,"vol. 17, issue 2",https://doi.org/10.1007/bf01574179,15
The European Physical Journal C,epj_c_1983_v17_i3,journal_issue,1983,1983-09-01,"vol. 17, issue 3",https://doi.org/10.1007/bf01578153,11
