source,unit_id,unit_type,year,unit_date,unit_label,unit_url,n_items_total
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2017_v10,journal_volume_or_batch,2017,2017-01-10,vol. 10,https://doi.org/10.3389/fncom.2016.00144,5
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2017_v11,journal_volume_or_batch,2017,2017-01-20,vol. 11,https://doi.org/10.3389/fncom.2017.00001,115
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2018_01_batch,official_article_batch,2018,2018-01-01,article batch 2018-01,https://www.frontiersin.org/articles/10.3389/fncom.2018.00081/pdf,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2018_v11,journal_volume_or_batch,2018,2018-01-07,vol. 11,https://doi.org/10.3389/fncom.2017.00116,5
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2018_v12,journal_volume_or_batch,2018,2018-01-19,vol. 12,https://doi.org/10.3389/fncom.2018.00004,102
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2019_v12,journal_volume_or_batch,2019,2019-01-07,vol. 12,https://doi.org/10.3389/fncom.2018.00099,9
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2019_v13,journal_volume_or_batch,2019,2019-01-24,vol. 13,https://doi.org/10.3389/fncom.2019.00002,84
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2020_v13,journal_volume_or_batch,2020,2020-01-09,vol. 13,https://doi.org/10.3389/fncom.2019.00086,15
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2020_v14,journal_volume_or_batch,2020,2020-01-24,vol. 14,https://doi.org/10.3389/fncom.2020.00003,110
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2021_v14,journal_volume_or_batch,2021,2021-01-05,vol. 14,https://doi.org/10.3389/fncom.2020.564015,12
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2021_v15,journal_volume_or_batch,2021,2021-01-29,vol. 15,https://doi.org/10.3389/fncom.2021.651959,116
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2021_v15_i29,journal_issue,2021,2021-07-26,"vol. 15, issue 29",https://doi.org/10.3389/fncom.2021.692334,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2022_v15,journal_volume_or_batch,2022,2022-01-03,vol. 15,https://doi.org/10.3389/fncom.2021.756881,18
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2022_v16,journal_volume_or_batch,2022,2022-01-31,vol. 16,https://doi.org/10.3389/fncom.2022.760085,179
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2023_v16,journal_volume_or_batch,2023,2023-01-05,vol. 16,https://doi.org/10.3389/fncom.2022.1075294,13
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2023_v17,journal_volume_or_batch,2023,2023-01-12,vol. 17,https://doi.org/10.3389/fncom.2023.1126493,128
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2024_v17,journal_volume_or_batch,2024,2024-01-04,vol. 17,https://doi.org/10.3389/fncom.2023.1199736,10
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2024_v18,journal_volume_or_batch,2024,2024-01-17,vol. 18,https://doi.org/10.3389/fncom.2024.1310013,113
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2025_v18,journal_volume_or_batch,2025,2025-01-06,vol. 18,https://doi.org/10.3389/fncom.2024.1537106,7
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2025_v19,journal_volume_or_batch,2025,2025-01-22,vol. 19,https://doi.org/10.3389/fncom.2025.1452203,95
