source,page_index,archive_url,status_code,content_type,n_results,request_time
PLOS Computational Biology,11,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMjk2MDg2NDAwMDAwLCAnLUluZmluaXR5JywgMCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1c0MjUzOTg2NDQ0J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:16.931435+00:00
PLOS Computational Biology,12,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzEyNDE2MDAwMDAwLCA5OC4wLCAyOSwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMDc5Njg5ODgzJ10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:18.624764+00:00
PLOS Computational Biology,13,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzI1MTE2ODAwMDAwLCAxMDAuMCwgMTAyLCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzIxNDQ5NDAxODknXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:20.271853+00:00
PLOS Computational Biology,14,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzM3MjEyODAwMDAwLCA5OS4wLCA2MiwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMDU5MTUyNjQ4J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:22.037655+00:00
PLOS Computational Biology,15,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzQ4NzA0MDAwMDAwLCA5Ny4wLCAxMCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cxOTc4MDQ2NTI2J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:23.613243+00:00
PLOS Computational Biology,16,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzYwODAwMDAwMDAwLCAxMDAuMCwgOTEsICdodHRwczovL29wZW5hbGV4Lm9yZy9XMTk5Mzg5NjI2NSddIg%3D%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:25.400217+00:00
PLOS Computational Biology,17,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzcxMDgxNjAwMDAwLCA5OS4wLCA0NSwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMDU0NTIwMjY2J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:27.172844+00:00
PLOS Computational Biology,18,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzgyNTcyODAwMDAwLCA5OC4wLCAyNiwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMTI2MDE2MTE1J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:28.738313+00:00
PLOS Computational Biology,19,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzkzNDU5MjAwMDAwLCAxMDAuMCwgODMsICdodHRwczovL29wZW5hbGV4Lm9yZy9XMjAyMjU0MjYxNyddIg%3D%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:30.391316+00:00
PLOS Computational Biology,20,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDAzMTM2MDAwMDAwLCA5NC4wLCAxLCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzE5OTAwNTY4NzMnXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:32.019203+00:00
