old_paper_id,new_paper_id
A0001,P0004
A0002,P0013
A0003,P0002
A0004,P0008
B0001,P0015
B0002,P0016
B0003,P0001
B0004,P0005
C0001,P0009
C0002,P0010
C0003,P0012
C0004,P0011
D0001,P0007
D0002,P0006
D0003,P0003
D0004,P0014
