source,archive_page_type,year,volume,page_url
Neural Computation,openalex_year_slice,1994,,"https://api.openalex.org/works?filter=primary_location.source.id:S207023548,publication_year:1994"
Neural Computation,openalex_year_slice,1997,,"https://api.openalex.org/works?filter=primary_location.source.id:S207023548,publication_year:1997"
Neural Computation,openalex_year_slice,1998,,"https://api.openalex.org/works?filter=primary_location.source.id:S207023548,publication_year:1998"
Neural Computation,openalex_year_slice,2000,,"https://api.openalex.org/works?filter=primary_location.source.id:S207023548,publication_year:2000"
Neural Computation,openalex_year_slice,2001,,"https://api.openalex.org/works?filter=primary_location.source.id:S207023548,publication_year:2001"
