paper_id,field,source,inventory_id,era_band,venue_tier,draw_idx,seed,unit_id,unit_year,title,doi,eligible_units,eligible_papers_in_selected_unit,selection_probability,design_weight,acquisition_route,pdf_url,pdf_path,text_path,pdf_sha256,text_chars
P0504,Clinical medicine / epidemiology / evidence-based medicine,PLOS Medicine,plos_medicine_plos_api_v1.0.0_2005-2014_20260621,2005-2014_completed_years_2005-2014,mid,1,202606210901,plos_medicine_2014_v11_i12,2014,Efficacy of Neonatal HBV Vaccination on Liver Cancer and Other Liver Diseases over 30-Year Follow-up of the Qidong Hepatitis B Intervention Study: A Cluster Randomized Controlled Trial,10.1371/journal.pmed.1001774,120,7,0.00119047619047619,840,direct_pdf_route,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.1001774&type=printable,corpus/pdfs/clinical_medicine/P0504.pdf,corpus/text/clinical_medicine/P0504.txt,0838075a058f3c9754d4407e2b9db5a2cb95241c81ac312438d6307d457864dc,61251
P0505,Clinical medicine / epidemiology / evidence-based medicine,PLOS Medicine,plos_medicine_plos_api_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,mid,1,202606210902,plos_medicine_2020_v17_i5,2020,Predicting the impact of patient and private provider behavior on diagnostic delay for pulmonary tuberculosis patients in India: A simulation modeling study,10.1371/journal.pmed.1003039,132,16,0.000473484848484848,2112,direct_pdf_route,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.1003039&type=printable,corpus/pdfs/clinical_medicine/P0505.pdf,corpus/text/clinical_medicine/P0505.txt,32314a05151dc7e9362e030119acfe1ae9d15c099ed124f93b96974dc1fa4b8e,62360
P0506,Clinical medicine / epidemiology / evidence-based medicine,PLOS Medicine,plos_medicine_plos_api_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,mid,2,202606210902,plos_medicine_2020_v17_i4,2020,"Pre-exposure prophylaxis for preventing acquisition of HIV: A cross-sectional study of patients, prescribers, uptake, and spending in the United States, 2015–2016",10.1371/journal.pmed.1003072,132,4,0.00189393939393939,528,direct_pdf_route,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.1003072&type=printable,corpus/pdfs/clinical_medicine/P0506.pdf,corpus/text/clinical_medicine/P0506.txt,825688a55af8a34e48025a8d0acbf74b8f40e58306d9ef26ced59d53972d1f64,59147
P0507,Clinical medicine / epidemiology / evidence-based medicine,PLOS Medicine,plos_medicine_plos_api_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,mid,3,202606210902,plos_medicine_2020_v17_i8,2020,Ambient air pollution and cause-specific risk of hospital admission in China: A nationwide time-series study,10.1371/journal.pmed.1003188,132,27,0.000280583613916947,3564,direct_pdf_route,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.1003188&type=printable,corpus/pdfs/clinical_medicine/P0507.pdf,corpus/text/clinical_medicine/P0507.txt,c2e24a75fec5ce39c3ccb0449ac693b12197a525b52e394fdef684ace488fbc9,96510
P0508,Clinical medicine / epidemiology / evidence-based medicine,PLOS Medicine,plos_medicine_plos_api_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,mid,4,202606210902,plos_medicine_2015_v12_i10,2015,Upgrading a Piped Water Supply from Intermittent to Continuous Delivery and Association with Waterborne Illness: A Matched Cohort Study in Urban India,10.1371/journal.pmed.1001892,132,7,0.00108225108225108,924,direct_pdf_route,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.1001892&type=printable,corpus/pdfs/clinical_medicine/P0508.pdf,corpus/text/clinical_medicine/P0508.txt,3d2475f126727a11c1e7caa59699bf8e699a4cceb993060cc4e37bca5a29cbc0,82168
