paper_id,text_chars,title
P0146,1147,"Factorial moments, cumulants and correlation integrals in ?+ p andK + p interactions at 250 GeV/c"
P0149,1533,J/? production at large transverse momentum at hadron colliders
P0150,1294,Squark and gluino decays for large tan β
P0151,1925,Mirror fermion production inep collisions
P0153,1664,Structure functions in τ decays
P0154,3757,A measurement ofD meson production inZ 0 hadronic decays
P0155,4269,Production and decay of the Standard Model Higgs boson at LEP200
