source,archive_page_type,year,volume,page_url
Physical Review Letters,openalex_year_slice,2015,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:2015"
Physical Review Letters,openalex_year_slice,2016,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:2016"
Physical Review Letters,openalex_year_slice,2017,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:2017"
Physical Review Letters,openalex_year_slice,2018,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:2018"
Physical Review Letters,openalex_year_slice,2019,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:2019"
Physical Review Letters,openalex_year_slice,2020,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:2020"
Physical Review Letters,openalex_year_slice,2021,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:2021"
Physical Review Letters,openalex_year_slice,2022,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:2022"
Physical Review Letters,openalex_year_slice,2023,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:2023"
Physical Review Letters,openalex_year_slice,2024,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:2024"
Physical Review Letters,openalex_year_slice,2025,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:2025"
