page_index,source_url,result_count,raw_num_found
1,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=0&wt=json,500,18045
2,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=500&wt=json,500,18045
3,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=1000&wt=json,500,18045
4,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=1500&wt=json,500,18045
5,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=2000&wt=json,500,18045
6,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=2500&wt=json,500,18045
7,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=3000&wt=json,500,18045
8,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=3500&wt=json,500,18045
9,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=4000&wt=json,500,18045
10,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2015-01-01T00%3A00%3A00Z+TO+2025-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=4500&wt=json,500,18045
